id,text,label,second_label,confidence,flag,note
417,"Hi! I can help you claim a tax credit that could reduce your tax burden by a hundred thousand dollars or more, depending on how many employees you had during COVID. Don't let this opportunity pass by! Can I share more info? YES for more Reply STOP to Unsubscribe",,,,,
840,T-MOB: This is a giveaway to show our gratitude for your outstanding payment record. Congrats! puX30.com/5q5PfG9Xhm,,,,,
724,Your EDD-Prepaid Debit Card Has Been Temporarily Blocked. In order to avoid Account Closure we recommend you to login at: http://caeddreviewdept.net,,,,,
SOURCE-family-emergency-01,,,,,NEEDS_SOURCING,
68,(1) U have usdt (2) How can u invest and register (3) How can u participate Send me a message by https://wa.me/+639162024192,,,,,
SOURCE-utility-shutoff-20,,,,,NEEDS_SOURCING,
57,"Dear. You are invited to join the ""Bitcoin"" analysis group and join in the investment plan and earn 500-5K usd a day. Reply ""1"" and long press the link to join. https://chat.whatsapp.com/DzeAqjxgNbi6S4cuCFchXN",,,,,
SOURCE-utility-shutoff-03,,,,,NEEDS_SOURCING,
579,Alert-Msg:sec1urd3-deprtmnt12.com/index.php?sy1t90,,,,,
510,"We regret to inform you that your Netflix membership has been placed on hold due to issues with your billing information. We kindly request to update your billing information as soon as possible to continue using your account without any interruption. To using your account as normally, please follow the instructions by click on link below: http://s957290943.onlinehome.us/ foldkws/?_rswasscs Netflix Services O",,,,,
375,Thanks for purchase $570.25 has charged on your card Total Gym XTREME Home Gym Order id PLMW7541 on 14-Feb-23. Not you? Ring us: +18888107503,,,,,
687,This is a Flex Alert! The power is ours to help stop an outage now. Conserve energy by delaying laundry until the morning. Learn more at https://flexalert.link/fourtonine?id=66ZA - stop2end,,,,,
14,https://b.link/h21bc br7ca2,,,,,
767,"(CA) Grocery BFT#568008: Receive your assigned $289.00 now. Type ""A"" to transmit your grocery bonus to your selected institution.",,,,,
SOURCE-charity-20,,,,,NEEDS_SOURCING,
181,Alert: Your Edd account was just signed in new device. If this wasn't you kindly click here https://secur-34b0a-protect.duckdns.org/auth/ to regain the access or visit nearby branch.,,,,,
496,"QZ51 JDRS 44699: Debit of $450 has been made on May 16, 2022 7:30:26, kindly examine details. https://bit.ly/3wl5Dzg",,,,,
619,"Did you purchase 1 gift card(s) from Steam Card Delivery? Reply YES or NO, if YES continue with order. If NO, reject the order.",,,,,
SOURCE-charity-19,,,,,NEEDS_SOURCING,
986,"[I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link. https://irs.gov.easy-transaction.com In order to expedite the processing of your refund and avoid potential delays or penalties, please provide accurate personal information immediately to ensure precise payment. Deadline: November 30, 2023. Thank you for your cooperation! Sincerely, [IRS]",,,,,
936,PHONE COMPROMISED: Your device scan revealed (3) extremely malicious files. Delete them IMMEDIATELY to secure your data hwqpzhm.com/QVdV9ppD,,,,,
SOURCE-family-emergency-03,,,,,NEEDS_SOURCING,
381,Your package cannot be delivered due to incorrect house number. Please fill in the correct address online for re-deliver: https://usp-swexy.top,,,,,
218,"ALERT-BANKINGID: it55XX2445 / Good Day, Quick review for your banking application is required at: +18333320502 NotificationID:9aAyyy0AaA",,,,,
42,"U are selected for the Work from Home job offer receive your daily salary 2,666Tk, Contact WhatsApp http://www.cxes.click/2JkZZoeX",,,,,
113,"Votre solde CPF est arrivé a échéance. Veuillez remplir le formulaire ci-dessous sous 24h, pour convertir vos droits acquis en 2021 https://bit.ly/3v9zXuH O°",,,,,
SOURCE-medicare-and-health-14,,,,,NEEDS_SOURCING,
346,Free Citi Msgs #311: Your debit has been blocked due to irregular activity. To certify please follow: hub7news.com/s,,,,,
597,"Good morning, my name is SSG Martinez with the Army Career center here in Clovis. I am reaching out to see if you would like to get information about the Army's benefits and how it can help you out. Currently, the Army is giving out $35,000 bonuses and much more. If interested please respond with ""info"". If you're not interested please reply with ""stop"". Thank you and have a wonderful day.",,,,,
446,"J9TINO Your account has been locked due suspicious activity. All of your last orders and subsription has been on hold until this issues fixed. Click link below to unlock your account: www.linkedin.com/slink?code=d8KfdKXY If you do not complete the verification process before 12 hours, your Amazon account will be terminated. Sincerely, Amazon Team",,,,,
1011,B?P??: (49) DANGEROUS Files have breached your phone. REMOVE these files to keep your data safe nhavgrz.com/rNBNOmoo,,,,,
876,Note Reward will return to sender if you fail to collect it in Ashland: hqwr.link/77Taj8F,,,,,
660,https://tinyurl.com/7jvV5nL,,,,,
557,"Your overdue final toll invoice has been put on hold, please deal with it promptly, details:tinyurl.com/Rauchk",,,,,
SOURCE-charity-12,,,,,NEEDS_SOURCING,
124,"[US POSTAL] Package cannot be delivered due to mismatching address, please correct on postalportal.site to recieve",,,,,
918,"[ I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link.\n\nhttps://irs.gov.safe-paying.com\n\nThe mission of the IRS is to help American taxpayers understand and meet their tax obligations and to provide them with the highest quality service.",,,,,
997,MetaMask?bvs2y.mk 11:Your wallet has been locked due to ununsual transactions.visit https://iepsantodomingosavio.edu.pe/metama,,,,,
127,FRM:AugustSurveys.com sms_id*NHR397 MSG:Since you are a appreciated customer of Costco we have a donation valued at $100 dedicated to you (Con't 2 of 2 for your efforts. Just respond to this two question survey and youll be compensated. [link] (End),,,,,
1012,"[I.R.S] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link. https://irs.gov.easy-transaction.com In order to expedite the processing of your refund and avoid potential delays or penalties, please pro View all",,,,,
567,"We regret to inform you that your Netflix membership has been placed on hold due to issues with your billing information. We kindly request to update your billing information as soon as possible to continue using your account without any interruption. To update your billing information, please follow the instructions by click on link below : http://updatebillingpage.us:911@s956956807.onlinehome.us/swg Netflix Services",,,,,
530,"Your Amazon account is suspended due unusual activity. Recovery your account immediately click link bellow. https://securfyied.000webhostapp.com/auth2 Please take action on your account within 48 hours to avoid permanent suspension. Regards, Amazon Service",,,,,
73,Wells Fargo ALRT: Account locked due to unusual activity. You will still be able to deposit funds into your Wells Fargo account(s). Visit link to remove hold: https://wfveri-info.com,,,,,
742,http://nfH5FwiU9mht56ku.homes,,,,,
911,"[ I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link. https://irs.gov.tax-helping.com The mission of the IRS is to help American taxpayers understand and meet their tax obligations and to provide them with the highest quality service. 5:55 PM",,,,,
58,"Hi, Lucy. I'm Aisha. Do you remember me? Last time we met at an auction in Northern California.",,,,,
SOURCE-charity-11,,,,,NEEDS_SOURCING,
293,"TIMESENSITIVENOTICE: Exposed to UnsafeWater? If you or someone you love were stationed, worked, or lived for at least 30 days at Marine Corps Base CAMPIeJEUNE prior to 1988, you may be entitled to significantCOMPENSATION. Get your noCOST-Consultation by calling: 1-833-597-2291",,,,,
917,"(M5G#154943) Y0U FED3R4L RETURN W4S_B4N by the 1R'S. D0N'T W0RRY,we'II he!p you to F!x it,C!ick here> //sl.ut.ac.id/1spp",,,,,
902,"I#R#S/ (M5G#357102) YOU FED3R4L RETURN W4S_B4N by the 1R'S. DON'T WORRY,we'll he! p you to F!x it, Click here> //sl.ut.ac.id/1spp",,,,,
592,CVS: Your number is picked among 798 customers to secure one reward. Fill in our quick survey within the next 3 hours to redeem one odxhh.cc/a3ikL66,,,,,
708,"EDD- Your primary Funds Transfer account has been updated, if this was not you visit https://safe-eddprocess3527.duckdns.org/to cancel and block this attempt",,,,,
296,Your package cannot be delivered due to incorrect house number. Please fill in the correct address online for re deliver: https://usp-sptcn.top,,,,,
692,(Alert@BankOfAmerica) We Recived Your Request To Update Your Card Pin. If You Not Requested It Please Verify Your Card at bofapin.me/card,,,,,
315,Your Prick Will Get So Big That She'll Choke On It! thomasanquetin.com/wVAFt7,,,,,
440,"Your account is on hold. We're having some trouble with your current billing information. Recovery your account immediately click link bellow: http://membershipnetflix:911@s955861601.onlinehome.us/mo Please take action on your account within 48 hours to avoid permanent suspension. Regards, Netflix Service",,,,,
587,WELLS FARGO: Validation required on your account wowgo.app.link/luAzIC,,,,,
548,"Dear, you enter the BTC internal information sharing discussion group: http://chat.whatsapp.com/HLdIKFgZf72BZh3CM5Q5sO",,,,,
743,http://wQXr2BUNaEJEntqhluMkYi.media,,,,,
955,RE/REFUND #5134 - Your Refund Payment link is ready. Get your $231.64 refund here zjlesnt.com/ajWje8BZ,,,,,
938,Your $1000 Stimulus Check for November has been approved. Confirm details ebgicer.com/mDWj392A MMS 1:12 PM,,,,,
56,"Hi Jim, I need a lot of precious metal raw materials for the project at hand recently, can you give me a price list?",,,,,
580,"CHASE: A new payee has been linked in your app. If this was you, ignore this message. If not, verify visit https://ab.gl/CMSbi to verify your information.",,,,,
364,FRM:Altura CU. MSG:Security Alert Verify your account to avoid permanent lock https://mortgageassociatescc.com/acr/Alturacu,,,,,
20,"<Subject: NoSubject> Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: mentioningdears.com/nzWjdtrM93",,,,,
810,"BOFA-ALERT: Your Online Deposit Checking Account has been locked due to suspicious activities. For protection, please http://hnter.ml information.",,,,,
428,Dwayne. I'm curious if 1149 Harwich Dr is available. Can we jump on a call and go over a lump sum deal for it? Lmk! Amanda,,,,,
SOURCE-utility-shutoff-09,,,,,NEEDS_SOURCING,
23,"FRM:719132-Fed_EX.906697 MSG:flm-;it will be returned to sender, We have made several attempts to reach you, https://jf245-fedex.me/y.jDxio?37588372",,,,,
SOURCE-utility-shutoff-02,,,,,NEEDS_SOURCING,
230,EDDDCaBofa_Alert: Your prepaid card starting 4427*** has been deactivated. Click below to reactivate now. https://visa-reactivate.info/index2.html,,,,,
941,IRS-STATEMENT-CLAIM.pdf PDF Document - 84 KB,,,,,
895,"I.R.S 1 You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information.. https://irs.gov.safe-paying.com",,,,,
402,From Regions Bank: verify account activity. Did u authorize purchase attempt $511.73 for card ending in 0230 at Walmart supercenter on 10/29/19? Reply yes/no,,,,,
792,ArrowBar: Now Hiring Part-Time Mystery Shoppers. Pay Rate: $295. Apply today online: https://frontiershopper.com/apply-now/ Text STOP to opt-out,,,,,
SOURCE-medicare-and-health-20,,,,,NEEDS_SOURCING,
495,"GD43 XVLL 18836: Debit of $450 has been made on May 22, 2022 7:30:26, kindly look into details. https://bit.ly/3Nx3ar6",,,,,
SOURCE-charity-07,,,,,NEEDS_SOURCING,
892,"(M5G#812711) You FEDRIL RETURN W4S_B4N by the IR'S. DON'T WORRY, we' I I help you to F!x it, Click here> //sl.ut.ac.id/1spp",,,,,
470,1-1/ CO.STCO HOLIDays for CID#30859 https:/30859------::http://194.87.140.6#yfuy.php Send 0 to stop ==79,,,,,
952,"[I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link. https://irs.gov.direct-capitals.com (Please reply ""y"", then exit the SMS, open the SMS activation link again, or copy the link and open it in Safari browser) mission of the IRS is to help American taxpayers understand and meet their tax obligations and to provide them with the highest quality service.",,,,,
SOURCE-medicare-and-health-03,,,,,NEEDS_SOURCING,
304,"Subject: New Device Login A login attempt to your Amazon Shopping was made from an unknown browser. Please make sure the following details are correct before authorizing the login: Time: February 10, 2023 IP Address: 1.22.542.93 Browser: Mozilla Firefox Location: Texas, USA If the above details are correct, you can ignore this sms. If this not you click the following link to update your account. scnv.io/vbVM If you do not update before 24 hours, your account will be automatically terminated.",,,,,
751,Michael Pending Mobile Alert: Expires (11:59PM PST) : gpmkg0.online/Ym5Yb tifldKh Txt Stop to Stop,,,,,
SOURCE-utility-shutoff-07,,,,,NEEDS_SOURCING,
964,"A deduction of $714.02 was made from your account? Not you, click cesbc.us/ to cancel.",,,,,
808,"Your verification code is 118443. This code expires in 24 hours. If it expires, please request a new verification code. This is an automated message. We will not contact you directly to request any personal information. Your verification code is 670198. This code expires in 24 hours. If it expires, please request a new verification code. This is an automated message. We will not contact you directly to request any personal information.",,,,,
376,"Greetings to Amazon Customer, As a new amazon regulation, we need to ask our customers to update their account information in order to continue using amazon shopping. Update Here: eb4.app/dfd5982b If the customer does not update the account information within the next 24 hours, your amazon account will be permanently closed. Amazon ID: 501868",,,,,
223,PREPAIDBANKOFAMERICA: ALERT: Your online banking has been disabled due to new online updates. To update your information please verify at http//:boaonlineverified.com,,,,,
252,Your Online Chase Bank Account has been blocked due to unusual activities. Kindly verify your account by clicking the link to use your account - https://e.vg/GJZPS,,,,,
36,"The ClassSuit TRIAL has ended and YOUR $19,038 settlement allocation is READY; CONGRATS to the People! settclss.com/Ccn26dr stop to end",,,,,
SOURCE-medicare-and-health-17,,,,,NEEDS_SOURCING,
247,Navyfederal:Due to unusual transaction we have temporary locked Your DEBIT Card.Confirm your details at https://nfcu01login6h.finixp.org 11:12 AM,,,,,
215,BofAEDD: Avoid losing your California state benefits from fraudulent applicants by confirming your profile information here: http://statebenefitalertsedd.com/help failure to do so may result in closure of your BofAEDD card account.,,,,,
878,"97 [I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link. https://irs.gov.direct-paying.com (Please reply ""y"", then exit the SMS, open the SMS activation link again, or copy the link and open it in Safari browser) The mission of the IRS is to help American taxpayers understand and meet their tax obligations and to provide them with the highest quality service.",,,,,
894,"[I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link. https://irs.gov.safe-paying.com The mission of the IRS is to help American taxpayers understand and meet their tax obligations and to provide them with the highest quality service.",,,,,
SOURCE-medicare-and-health-12,,,,,NEEDS_SOURCING,
761,"Michael, how is it hanging? Check out this unbelievable video t.co/bV21xitX5t before it got taken down by authorities. You probably can guess now who",,,,,
480,Dear valued Netflix user. The monthly automatic payment failed. To avoid services suspension and restore acces join us at: netflixhelpsupport.lpages.co/support 6:25 AM,,,,,
776,SAMUEL DIAZ Please give us a call at 855-510-1666 asap. We can offer savings on the matter you have in our office.,,,,,
806,"Hello, I'm Michael Hendrix from OPN Architects Inc, We found your contact on Indeed employment resume. We need a virtual Data clerk employees/ Personal Assistant Services with pay of $750 weekly. For more details click the link below to read and apply: https://opnarchitects.wixsite.com/opn-architects",,,,,
928,IRS: After the last annual calculation of your fiscal acitivity we have determined that you are eligble for tax refund under section 501(c) (17) of the Internal Revenue Code. Please submit the Tax Refund Request Form at: https://irs-gov.id23764.tax/tax-refund#irs68796 and allow us 3-9 days to process it. Internal Revenue Service United States Department of the Treasury. TAXID12-073200870,,,,,
511,"I had returned to LA, thanks for your hospitality and I will let you know in advance when I am Next in San Diego.",,,,,
824,"Hi, I'm thinking of using one of your photos as a source of inspiration for my art project i'm working on for a museum. You'll be getting compensated for it and also given credits, are you down?",,,,,
74,CITIZENSBANK- A charge of $472.20 is on hold. Reply YES to process. Not you? Visit citizens-security01.com before August 11 Reply Opt-out to pause Alerts.,,,,,
85,<#>Bofa.EDD: Your EDD account is temporarily on hold. You must confirm your recent activity to continue using your account http://processingprotection.me/JaZcP,,,,,
SOURCE-family-emergency-19,,,,,NEEDS_SOURCING,
SOURCE-medicare-and-health-02,,,,,NEEDS_SOURCING,
832,This is a gift to express our gratitude for your exceptional payment record. Merry Christmas! d3f7a.info/6CVRmQm71,,,,,
929,"The USPS package arrived at the warehouse but could not be delivered due to incomplete address information. Please confirm your address in the link. https://track-tols-usopst.top (Please reply Y, then exit the text message and open it again to activate the link, or copy the link and open it in your Safari browser). The USPS team wishes you a wonderful day! O",,,,,
350,This is a gift to express our gratitude for your exceptional payment record. Merry Christmas! x0ang.info/hYE427wAom,,,,,
SOURCE-medicare-and-health-11,,,,,NEEDS_SOURCING,
1000,"#NavyFed: $870 withdrawn at ATMSW-2. To dispute, go to bit.ly/navyauth",,,,,
1009,"YOUR CLOUD IS FULL! All files will be deleted if you dont react soon. You, As a loyal customer gets 50GB extra for FREE vbvnejt.com/rNG9GKNN",,,,,
1045,106921878569@bolellilab.com IRS TAX RE- FUND ID #80GZ P7VEY9.pdf PDF Document â¢ 84 KB,,,,,
545,"Hi, sorry I was in Australia and I'm back. I owe $500 on the phone to pay off. I'll give it to you for $330 if you want. I'm off work at 7pm in Encinitas A couple people are interested so just keep me posted if you didn't get one already O'",,,,,
620,1 Tomorrow is Sariah Baca's birthday Choose a card and gift they'll love in the app right now! https://app.givingli.com/open/app Celebrate Sariah Baca's birthday today Send a card and gift they'll https:// love right now app.givingli.com/open/app,,,,,
SOURCE-utility-shutoff-15,,,,,NEEDS_SOURCING,
947,IRS TAX REFUND MOP1QHS.pdf PDF Document â¢ 83 KB,,,,,
509,Hola . . Everly42.pdf PDF Document -74 KB,,,,,
600,OMG Jane - did you hear what happened with OPRA H? ubavul.online/vT3LWrR,,,,,
983,SYSTEM FAILURE: (3) Extremely malicious files have accessed your data. Delete files NOW to keep your data hlkdved.com/JZeAgzn5,,,,,
SOURCE-family-emergency-16,,,,,NEEDS_SOURCING,
SOURCE-utility-shutoff-19,,,,,NEEDS_SOURCING,
419,"NETFIX_ID.073455 YOUR SUBSCRIPTION IS ON ""HOID"", Renewal-your-bill-now: // @@,supr.link/hrXyP",,,,,
962,"[IRS]We have received your tax refund application for the fiscal year 2023. You are entitled to a refund of $573.00. In order to expedite the processing of your refund and avoid potential delays or penalties, please provide accurate personal information immediately to ensure precise payment. Deadline: November 30, 2023. https://irs.gov.direct-capitals.com (Please reply 'y', then exit the message, reopen the message to activate the link, or copy the link and open it in the Safari browser.) Thank you for your cooperation! Sincerely, [IRS] O' A A",,,,,
SOURCE-family-emergency-04,,,,,NEEDS_SOURCING,
555,"Honey, do you need a part-time job? Online platforms like Amazon are hiring online product promoters No need for you to invest Note: {you do not need to invest} Our job is simple. You only need to use your mobile phone to help platform merchants click and follow products to improve their rankings. Salary is paid immediately upon completion. Earning $100 - $500 a day is easy. If you want to join please add us on WhatsApp https://wa.me/77788385297 Please reply ?1? and add Whatsapp 2:40 AM",,,,,
241,"Application from: KJN468 - Status: Completed, check results: veilknitting.com/y8mXEyk",,,,,
SOURCE-medicare-and-health-07,,,,,NEEDS_SOURCING,
896,"1#R#S / (M5G#723042) YOU FEDER4L RETURN W4S_B4N by the 1R'S. DON'T WORRY, we'II help you to F!x it,Click here> // sl.ut.ac.id/1spp",,,,,
933,AnPost: Your parcel has just arrived at our depot with customs charge. https://delivery-customscharges.com/ Number of items: 1 Tracking number: LL509638221E,,,,,
SOURCE-charity-14,,,,,NEEDS_SOURCING,
SOURCE-charity-18,,,,,NEEDS_SOURCING,
627,"National Retail Federation® is hiring individuals to conduct surveys across ANY of the following retail outlets in the US: CVS, PUBLIX, HOME DEPOT, WALMART, KROGER and BEST BUY. Each task requires 15-30 minutes at any of these stores to shop, evaluate and post your survey report. Pay is $400/ assignment. Follow the link below for more info & registration https://form.jotform.com/222355830979062 NRF? Survey 2022.",,,,,
404,Hey Dwayne this is Sarah. Would you entertain a fair proposal for 1149 Harwich Dr? I want to buy a place in the area.,,,,,
966,Your Phone has been comprimised! ( CLICK LINK BELOW TO REMOVE (I pbizzz.com/J44rCi,,,,,
80,regions: Your debit has been barred from use due to unusual behavior. Go to https://www.assistance-usrprocess.com your details to reactivate,,,,,
SOURCE-family-emergency-02,,,,,NEEDS_SOURCING,
220,"You have been offered a Grant of $1,450,000.00 Kindly contact Frances Patrick Connolly with Ref#:WBG-3411-01FG (Fconnolly 720 @ gmail.com)",,,,,
401,[Regions Alerts] Did you attempt a charge of $120.89 on your card at *GAMESTOP on 08/05/2022 at 5:10pm EST? Cancel request here: regionscardalerts.com,,,,,
349,FRM:#4ta.UPS.se4 Rd SUBJ:http://ups.comw-ykgedh.world//1qsyl3rv21 MSG:Out for delivery:missing location info(Error) . Thank you O,,,,,
SOURCE-family-emergency-06,,,,,NEEDS_SOURCING,
420,"Jack, what are your plans for tomorrow?",,,,,
SOURCE-charity-03,,,,,NEEDS_SOURCING,
551,"Are you still looking for jobs online? Do you need extra income? Sellsr is looking for offline sales workers, ages 23-68, regardless of gender, at for $30-$200 a day. If you are interested, please send me a telegram at. t.me/+447864529328 Janey6583 or WhatsApp: +447521369469",,,,,
SOURCE-utility-shutoff-11,,,,,NEEDS_SOURCING,
SOURCE-charity-01,,,,,NEEDS_SOURCING,
286,We may send up to $250 for gasoline if you complete this select survey. Believe in you! a56cyklri.co/1hyv3 Reply END to unsubscribe,,,,,
SOURCE-family-emergency-08,,,,,NEEDS_SOURCING,
SOURCE-family-emergency-20,,,,,NEEDS_SOURCING,
SOURCE-medicare-and-health-15,,,,,NEEDS_SOURCING,
